Date, Close/Last, Volume, Open, High, Low
05/24/2019, $82.16, 5998980, $82.2, $83.17, $82.09
05/23/2019, $82.64, 9704192, $82.5, $83.06, $81.99
05/22/2019, $83.2, 5237761, $82.99, $83.34, $82.76
05/21/2019, $83.64, 5762586, $83.36, $83.8, $82.51
05/20/2019, $82.85, 7182345, $83.8, $83.8, $82.735
05/17/2019, $84.57, 5068366, $83.51, $85.515, $83.5
05/16/2019, $84.28, 6745317, $84.51, $85.4, $84.2
05/15/2019, $84.01, 4862202, $83.17, $84.49, $82.94
05/14/2019, $83.67, 7529248, $82.78, $84, $82.06
05/13/2019, $82.53, 6445267, $81.65, $82.63, $81.32
05/10/2019, $83.95, 5450504, $82.78, $84.27, $82.19
05/09/2019, $82.98, 6336567, $82.21, $83.01, $81.5355
05/08/2019, $82.77, 9501257, $82.43, $83.99, $82.14
05/07/2019, $82.54, 9811257, $83.02, $83.63, $81.83
05/06/2019, $83.57, 12836650, $83.77, $83.87, $82.86
05/03/2019, $85.7, 6798283, $85.9, $86.3, $85.695
05/02/2019, $85.27, 6813740, $86.21, $86.28, $84.985
05/01/2019, $85.9, 6524576, $87.73, $87.95, $85.87
04/30/2019, $87.83, 7569165, $88.29, $88.4, $87.26
04/29/2019, $88.26, 5008209, $88.18, $88.505, $88.13
04/26/2019, $88.31, 6060305, $87.95, $88.94, $87.33
04/25/2019, $87.56, 6866442, $88.4, $88.54, $87.49
04/24/2019, $88.39, 8060326, $87.67, $88.8241, $87.43
04/23/2019, $87.43, 7513422, $87.57, $87.67, $87.0092
04/22/2019, $87.36, 5292061, $88.35, $88.64, $87.3
04/18/2019, $89.2, 6921334, $88.76, $90, $88.7
04/17/2019, $88.73, 5586181, $87.95, $88.97, $87.45
04/16/2019, $87.8, 4652552, $87, $87.95, $87
04/15/2019, $86.83, 5034861, $86.89, $87.2428, $86.4388
04/12/2019, $86.24, 6035496, $85.3, $86.49, $85.29
04/11/2019, $85, 3347278, $84.9, $85.05, $84.2837
04/10/2019, $84.88, 3695441, $84.64, $85.01, $84.56
04/09/2019, $84.28, 3802699, $84.22, $84.6, $83.97
04/08/2019, $84.73, 4703971, $85.01, $85.29, $84.57
04/05/2019, $85.4, 7280614, $86, $86.16, $85.05
04/04/2019, $85.28, 3624219, $84.49, $85.38, $84.36
04/03/2019, $84.47, 4041333, $84.9, $84.99, $84.25
04/02/2019, $84.37, 4431854, $85, $85.26, $84.16
04/01/2019, $85.23, 6162022, $85.04, $85.32, $84.7
